Member_ID,Name,Member_Type,Join_Date,Fine_Outstanding
M-00061,Kevin Spencer,Regular,2015-05-03,23.53
M-00062,Dustin Carpenter,Regular,2014-10-08,52.58
M-00063,Sarah Ross,Premium,2012-08-13,11.07
M-00064,Leslie Cantrell,Premium,2018-03-12,35.22
M-00065,Daniel Johnson,Premium,2014-01-05,
M-00066,Jaime Beasley,Regular,2019-05-05,16.02
M-00067,Colleen Lozano,Regular,2012-03-01,45.25
M-00068,Thomas Acevedo,Premium,2021-08-04,87.08
M-00069,Richard Reyes,Regular,2018-01-11,58.59
M-00070,Benjamin Leonard,Regular,2015-01-27,40.88
M-00071,Rebecca Hill,Regular,2019-01-02,87.28
M-00072,Gregory Fitzgerald,Regular,2019-08-05,20.66
M-00073,Charles Ramos,Regular,2015-09-15,38.14
M-00074,Michelle Coleman,Regular,2018-12-11,
M-00075,Scott Banks,Regular,2013-08-15,82.77
M-00076,Emily Williams,Regular,2014-03-31,92.6
M-00077,Sheila Nguyen,Regular,2018-08-13,43.07
M-00078,Cynthia Boyd,Premium,2017-11-02,6.53
M-00079,Jamie Nichols,Premium,2012-09-30,8.92
M-00080,William Mooney,Premium,2017-12-08,42.25
M-00081,Kimberly Jones,Regular,2015-10-03,
M-00082,Cole Lee,Regular,2016-08-23,93.08
M-00083,Beth Gomez MD,Regular,2021-03-13,
M-00084,Lisa Rodriguez,Premium,2013-04-21,71.57
M-00085,Christopher Jones,Regular,2016-02-07,1.08
M-00086,Pamela Brown,Regular,2013-07-19,29.76
M-00087,Deanna Martin,Premium,2012-07-07,76.44
M-00088,Ashley Kaufman,Premium,2015-05-24,15.34
M-00089,Erin Rodriguez,Regular,2014-02-28,63.26
M-00090,Adam Finley,Premium,2022-03-28,73.72
M-00091,Pamela Gregory,Regular,2017-08-29,
M-00092,Timothy Lopez,Premium,2016-01-06,
M-00093,Melissa Romero,Regular,2015-11-02,62.26
M-00094,Mathew Doyle,Regular,2021-02-24,52.25
M-00095,William Moore,Regular,2021-01-01,41.17
M-00096,Bryan Peterson,Regular,2021-12-15,
M-00097,Kenneth Williams,Premium,2011-12-02,82.11
M-00098,Daniel Sanchez,Premium,2021-10-27,46.1
M-00099,Nicole Baker,Premium,2021-04-04,48.67
M-00100,Jeff Hopkins,Regular,2014-07-24,20.68
M-00101,James Smith,Premium,2016-01-30,3.44
M-00102,David Greer,Regular,2021-12-10,45.48
M-00103,Brian Hughes,Premium,2021-07-22,80.27
M-00104,Molly Flowers,Regular,2018-10-06,50.08
M-00105,Valerie Wilson,Regular,2019-11-14,72.38
M-00106,Emily Adams,Regular,2011-12-12,
M-00107,Lauren Porter,Regular,2022-04-09,84.52
M-00108,Christine Crawford,Regular,2013-05-06,22.58
M-00109,Rebecca Buchanan,Regular,2018-06-05,93.13
M-00110,Amber Marshall,Regular,2017-07-15,94.86
M-00111,Blake Peterson,Premium,2014-08-12,57.45
M-00112,Lindsey Sherman,Regular,2019-10-18,14.13
M-00113,Kayla Brooks,Regular,2016-11-28,59.28
M-00114,Robert Short,Regular,2014-08-16,10.78
M-00115,Keith Miller,Regular,2019-09-25,79.71
M-00116,Lisa Green,Regular,2021-07-18,74.41
M-00117,Samuel Munoz,Regular,2013-11-27,38.86
M-00118,Marcus Baxter,Regular,2016-02-13,31.62
M-00119,Joshua Hines,Regular,2019-11-12,21.36
M-00120,Dean Mcdonald DDS,Regular,2017-10-21,32.84
M-00121,Morgan Smith,Regular,2013-01-06,99.53
M-00122,Jillian Mosley,Regular,2020-01-18,
M-00123,Amy Cooley,Regular,2015-12-13,99.92
M-00124,Kathleen Cruz,Regular,2016-04-02,4.26
M-00125,Jacob Martinez,Regular,2013-03-24,
M-00126,Darrell Peck,Regular,2021-04-01,88.07
M-00127,Katie King,Regular,2019-01-16,5.85
M-00128,Teresa Hoover,Premium,2021-06-02,
M-00129,Jennifer Brock,Regular,2022-02-15,28.35
M-00130,Susan Lutz,Regular,2013-02-15,30.61
M-00131,Tristan Johnson,Regular,2012-03-28,59.01
M-00132,Jacob Shields,Regular,2013-04-15,20.12
M-00133,Christine Schaefer,Regular,2019-05-14,10.28
M-00134,Jonathan Barnes,Regular,2018-01-17,39.04
M-00135,Nicole Harris,Regular,2014-11-12,70.11
M-00136,Laura Harris,Regular,2013-06-28,22.53
M-00137,Ashley Rodriguez,Regular,2022-02-09,95.63
M-00138,Ryan Roberts,Regular,2015-03-04,45.21
M-00139,Virginia Myers,Regular,2018-10-26,73.37
M-00140,Timothy Rice,Regular,2021-08-24,39.77
M-00141,Rebecca Trevino,Premium,2012-11-10,31.65
M-00142,Peter Hughes,Premium,2019-11-26,6.22
M-00143,Anne Barton,Regular,2017-08-27,8.67
M-00144,Bradley Roberts,Premium,2015-05-24,60.29
M-00145,Patricia Brooks,Regular,2020-02-19,99.09
M-00146,George Franklin,Regular,2012-05-16,
M-00147,Brian Greene PhD,Regular,2018-11-06,76.46
M-00148,Sharon Villegas,Premium,2016-05-31,10.01
M-00149,Eric Clark,Regular,2016-06-27,40.45
M-00150,Robert King,Regular,2015-05-06,
M-00151,Shawn Brewer,Regular,2021-08-31,
M-00152,Christine Wolfe,Premium,2012-04-27,19.49
M-00153,Joseph Brooks,Regular,2019-09-09,51.93
M-00154,James Johnson,Regular,2018-01-23,2.06
M-00155,Dana Wilson,Regular,2018-04-18,13.32
M-00156,David Allen,Premium,2019-07-12,52.22
M-00157,Veronica Becker,Regular,2013-01-29,57.21
M-00158,Lisa Burch,Regular,2012-01-06,
M-00159,Mary Butler,Premium,2020-09-28,
M-00160,Michael Gilmore,Regular,2022-01-11,9.58
M-00161,Michael Bauer,Regular,2018-07-14,91.66
M-00162,Emily Randolph,Premium,2019-10-11,45.53
M-00163,Karen Maxwell,Regular,2020-12-02,9.08
M-00164,Jeffrey Fletcher,Premium,2016-07-16,33.61
M-00165,Susan Hughes,Regular,2020-05-02,34.24
M-00166,Christine Harris,Regular,2017-08-20,51.06
M-00167,Anthony Williams,Premium,2013-06-14,14.17
M-00168,Justin Sharp,Regular,2018-07-24,78.99
M-00169,Timothy Maldonado,Premium,2012-04-12,
M-00170,Kelly Lee,Premium,2021-12-12,27.54
M-00171,Kara Brock,Regular,2021-06-24,46.38
M-00172,Donna Campos,Regular,2021-01-30,37.48
M-00173,Steven Bell,Regular,2022-03-22,50.33
M-00174,Laura Snyder,Regular,2013-07-23,15.22
M-00175,Laura Armstrong,Regular,2014-04-04,56.41
M-00176,Nancy Herrera,Premium,2011-08-16,27.24
M-00177,Derek Miller,Regular,2012-02-26,41.8
M-00178,Karen Houston,Regular,2021-07-21,40.07
M-00179,Jordan Hayes,Regular,2016-02-28,91.87
M-00180,Michelle Lee,Premium,2014-03-21,43.44
M-00181,Lisa Burton,Regular,2020-03-22,4.95
M-00182,Sherry Brown,Regular,2018-04-17,17.45
M-00183,Nathan Neal,Regular,2018-06-13,11.7
M-00184,Hannah Peterson,Premium,2012-06-16,26.48
M-00185,Craig Douglas,Regular,2012-06-14,69.56
M-00186,Troy Russo,Regular,2013-02-05,82.37
M-00187,Rebecca Harris,Regular,2013-02-09,46.58
M-00188,Jeffrey Fuentes,Regular,2012-09-30,95.97
M-00189,Aaron Johnson,Regular,2012-05-07,69.47
M-00190,Joseph Taylor,Regular,2011-11-27,9.64
M-00191,Erin Thomas MD,Regular,2013-01-14,55.82
M-00192,Brittany Long,Premium,2015-01-16,
M-00193,Jacob Johnson PhD,Premium,2013-06-30,26.61
M-00194,Amy Flores,Regular,2012-03-22,
M-00195,Brooke Walsh,Regular,2014-08-24,50.38
M-00196,Justin Phillips,Premium,2022-04-21,98.28
M-00197,Jeffery Miller,Regular,2018-10-12,68.55
M-00198,Cassandra George,Regular,2018-01-13,
M-00199,Eric Edwards,Premium,2016-07-29,
M-00200,Michael Carpenter,Regular,2021-08-19,52.81
M-00201,Donald Aguirre,Regular,2015-10-25,10.8
M-00202,Rachel Smith,Regular,2018-01-09,39.73
M-00203,Jared Adams,Regular,2019-02-05,9.32
M-00204,Brian Johnson,Regular,2019-10-28,71.73
M-00205,Melissa Stafford,Premium,2018-09-17,
M-00206,Joanne Pineda,Regular,2022-04-17,30.24
M-00207,Karen Powers,Regular,2012-10-23,
M-00208,Andrea Simpson,Regular,2014-12-08,30.5
M-00209,Anita Brown,Premium,2019-01-06,18.33
M-00210,Abigail Bolton,Regular,2012-04-23,45.53
M-00211,Charles Mosley,Premium,2021-11-23,76.42
M-00212,Mark Beck,Regular,2016-12-18,81.6
M-00213,Lindsey Gamble,Premium,2013-06-08,91.01
M-00214,Cody Rollins,Premium,2013-06-21,13.21
M-00215,Timothy David,Premium,2012-03-04,
M-00216,Daniel Whitehead,Regular,2015-09-27,
M-00217,Julie Tate,Premium,2016-01-31,73.52
M-00218,Stephanie Johnson,Regular,2016-04-03,
M-00219,James Lopez,Regular,2014-02-22,65.95
M-00220,Joyce Dickerson,Regular,2018-07-28,32.35
M-00221,Lisa Martin,Regular,2018-02-27,
M-00222,Autumn Dickson,Regular,2017-02-25,58.02
M-00223,Corey Simpson,Premium,2020-08-22,
M-00224,Gary Smith,Regular,2014-01-23,93.67
M-00225,Timothy Stout,Regular,2012-02-17,
M-00226,Gary Martin,Regular,2013-09-27,32.6
M-00227,Vanessa Smith,Regular,2019-09-02,63.84
M-00228,Audrey Ray,Premium,2018-11-22,
M-00229,Diane Ball,Premium,2011-07-17,
M-00230,Christopher Chang,Regular,2016-04-23,7.09
M-00231,Lisa Meyers,Regular,2014-06-03,18.87
M-00232,Marcus Jones,Regular,2017-06-30,
M-00233,Jordan Huber,Premium,2022-03-04,22.23
M-00234,Alyssa Simpson,Regular,2013-06-20,22.22
M-00235,Jake Leon,Regular,2019-07-29,99.65
M-00236,Michael Trujillo,Regular,2018-07-03,
M-00237,Emily Russell,Regular,2017-12-15,
M-00238,David Gonzales,Regular,2016-05-06,82.69
M-00239,Lisa Jones,Premium,2013-01-10,14.0
M-00240,Martha Erickson,Regular,2012-02-27,
M-00241,Mrs. Angela George DDS,Premium,2014-09-14,19.65
M-00242,Diana Carter,Regular,2021-05-19,
M-00243,Chelsea Lambert,Regular,2021-06-04,
M-00244,Bridget Johnson,Regular,2011-10-05,86.82
M-00245,Aaron Patel,Premium,2013-04-27,
M-00246,Sherry Mccullough,Premium,2017-07-26,31.93
M-00247,Kaitlyn Smith,Regular,2014-07-15,9.18
M-00248,Karen Ballard MD,Regular,2022-02-12,36.87
M-00249,Kenneth Wiggins,Premium,2013-04-05,89.18
M-00250,Laura Valdez,Premium,2018-03-02,86.41
M-00251,Robert Mathews,Regular,2014-09-19,
M-00252,James Terry,Regular,2021-09-01,34.36
M-00253,Lauren Griffin,Regular,2013-11-15,14.88
M-00254,Samuel Wright,Regular,2021-08-26,90.3
M-00255,Michael Cole,Regular,2021-08-03,67.77
M-00256,Colleen Kelly,Regular,2020-08-05,
M-00257,Paul Hurley,Regular,2013-06-05,83.55
M-00258,Eric Mitchell,Regular,2020-01-05,54.67
M-00259,Victor Howard,Regular,2017-05-31,
M-00260,John Powell,Regular,2020-02-14,52.83
M-00261,Hailey Mcknight,Regular,2011-12-16,36.17
M-00262,Courtney Jennings,Regular,2013-02-02,83.05
M-00263,Gene Harris,Regular,2012-03-13,92.32
M-00264,Margaret Porter,Regular,2013-04-08,
M-00265,Robert Estrada,Regular,2018-07-24,2.25
M-00266,Abigail Lawrence,Regular,2018-04-16,98.79
M-00267,Edward Mendez,Regular,2015-05-25,8.17
M-00268,Thomas Beasley,Regular,2015-04-14,57.05
M-00269,Daniel Martin,Regular,2013-08-31,52.0
M-00270,Dennis Garcia,Regular,2022-02-22,34.06
M-00271,Bridget Carlson,Regular,2013-04-28,57.64
M-00272,Nancy Leach,Regular,2018-03-06,60.72
M-00273,Tina Tanner,Regular,2011-11-11,15.31
M-00274,Luis Fisher,Premium,2015-10-20,31.77
M-00275,Kirk Weber,Regular,2020-12-25,8.79
M-00276,Lori Krueger,Regular,2011-12-10,25.77
M-00277,Jessica Lee,Premium,2016-02-15,
M-00278,Stephanie Wilson,Regular,2011-10-01,
M-00279,Christopher Williams,Regular,2011-11-14,18.02
M-00280,Michael Dalton,Premium,2013-01-26,28.24
M-00281,Andrea Maxwell,Premium,2015-03-27,43.41
M-00282,Loretta Carr,Regular,2019-08-02,84.9
M-00283,Stephanie Mccullough,Regular,2020-06-20,35.72
M-00284,Lindsey Price,Regular,2012-01-15,52.19
M-00285,Steven Jones,Regular,2015-02-09,9.23
M-00286,Alexander Santiago,Regular,2014-01-27,
M-00287,Valerie Herring,Regular,2013-11-29,19.18
M-00288,Madison Ferguson MD,Regular,2021-01-28,14.71
M-00289,Krista Khan,Premium,2017-05-16,74.45
M-00290,Joel Robinson,Regular,2013-11-15,
M-00291,Jill Anderson,Regular,2011-12-01,39.21
M-00292,Amanda Stanley,Premium,2016-02-25,
M-00293,Andrew White,Regular,2016-06-11,
M-00294,David Rhodes,Regular,2012-10-13,
M-00295,Alex Jones,Regular,2017-08-08,25.08
M-00296,Isabel Nichols,Regular,2014-06-17,
M-00297,John Patterson,Regular,2016-09-14,
M-00298,Linda Miller,Regular,2012-02-13,8.65
M-00299,Andrea Taylor,Regular,2017-04-19,11.65
M-00300,Troy Elliott,Regular,2012-02-27,84.3
